,0
0,58.43467712402344
1,54.48976516723633
2,50.57950210571289
3,46.67894744873047
4,42.76527786254883
5,38.82160949707031
6,34.83853530883789
7,30.804933547973633
8,26.707019805908203
9,22.535938262939453
10,18.28508186340332
11,13.944466590881348
12,9.509191513061523
13,4.970660209655762
14,0.31587132811546326
15,-4.471966743469238
16,-9.390463829040527
17,-14.441665649414062
18,-19.634790420532227
19,-24.97308921813965
20,-30.46030044555664
21,-36.10691452026367
22,-41.91791915893555
23,-47.89934539794922
24,-54.05876922607422
25,-60.40714645385742
26,-66.9519271850586
27,-73.70305633544922
28,-80.6695556640625
29,-87.86465454101562
30,-95.3032455444336
31,-103.00111389160156
32,-110.97653198242188
33,-119.24610900878906
34,-127.82575988769531
35,-136.736083984375
36,-146.00221252441406
37,-155.63783264160156
38,-165.661865234375
39,-176.09071350097656
40,-186.9359893798828
41,-198.20529174804688
42,-209.907470703125
43,-222.0545654296875
44,-234.6688690185547
45,-247.7761993408203
46,-261.4098815917969
47,-275.605712890625
48,-290.3916015625
49,-305.7781677246094
50,-321.7603759765625
51,-338.34893798828125
52,-355.5520324707031
53,-373.3826599121094
54,-391.8525085449219
55,-410.9823913574219
56,-430.8011169433594
57,-451.3216552734375
58,-472.5556335449219
59,-494.5144958496094
60,-517.2181396484375
61,-540.6845092773438
62,-564.9255981445312
63,-589.9490966796875
64,-615.7595825195312
65,-642.373779296875
66,-669.8031616210938
67,-698.064208984375
68,-727.176513671875
69,-757.1554565429688
70,-788.0139770507812
71,-819.7691650390625
72,-852.4354248046875
73,-886.0249633789062
74,-920.5535278320312
75,-956.0377807617188
76,-992.4946899414062
77,-1029.9403076171875
78,-1068.3924560546875
79,-1107.8701171875
80,-1148.3897705078125
81,-1189.966796875
82,-1232.61669921875
83,-1276.3580322265625
84,-1321.208984375
85,-1367.1866455078125
86,-1414.3109130859375
87,-1462.59912109375
88,-1512.0699462890625
89,-1562.7412109375
90,-1614.6317138671875
91,-1667.7620849609375
92,-1722.1517333984375
93,-1777.8197021484375
94,-1834.786376953125
95,-1893.0689697265625
96,-1952.690673828125
97,-2013.6676025390625
98,-2076.017333984375
99,-2139.760009765625
