,0
0,111.8637466430664
1,102.41688537597656
2,92.79779052734375
3,83.0029296875
4,73.02334594726562
5,62.85006332397461
6,52.47671890258789
7,41.89341354370117
8,31.08771514892578
9,20.0411434173584
10,8.738232612609863
11,-2.844743490219116
12,-14.733551979064941
13,-26.94344139099121
14,-39.49149703979492
15,-52.39064025878906
16,-65.66411590576172
17,-79.33451080322266
18,-93.42373657226562
19,-107.93890380859375
20,-122.8836669921875
21,-138.2709503173828
22,-154.11251831054688
23,-170.4248046875
24,-187.22682189941406
25,-204.5482177734375
26,-222.4293212890625
27,-240.92237854003906
28,-260.06207275390625
29,-279.84228515625
30,-300.2413330078125
31,-321.2663269042969
32,-342.93267822265625
33,-365.25421142578125
34,-388.2458801269531
35,-411.93450927734375
36,-436.34051513671875
37,-461.4812316894531
38,-487.3744201660156
39,-514.0283813476562
40,-541.4671020507812
41,-569.7145385742188
42,-598.7960815429688
43,-628.7312622070312
44,-659.53662109375
45,-691.2255249023438
46,-723.8106689453125
47,-757.3077392578125
48,-791.7294311523438
49,-827.0929565429688
50,-863.4171142578125
51,-900.7184448242188
52,-939.0126953125
53,-978.3182983398438
54,-1018.6522216796875
55,-1060.033935546875
56,-1102.479736328125
57,-1146.009033203125
58,-1190.6416015625
59,-1236.395751953125
60,-1283.2889404296875
61,-1331.3389892578125
62,-1380.5625
63,-1430.9769287109375
64,-1482.599609375
65,-1535.448974609375
66,-1589.5430908203125
67,-1644.8983154296875
68,-1701.53125
69,-1759.4600830078125
70,-1818.702880859375
71,-1879.2769775390625
72,-1941.200439453125
73,-2004.491943359375
74,-2069.1689453125
75,-2135.248779296875
76,-2202.748291015625
77,-2271.6845703125
78,-2342.075927734375
79,-2413.93701171875
80,-2487.282470703125
81,-2562.127685546875
82,-2638.48388671875
83,-2716.361328125
84,-2795.781982421875
85,-2876.768310546875
86,-2959.34375
87,-3043.530029296875
88,-3129.348876953125
89,-3216.81787109375
90,-3305.956787109375
91,-3396.775390625
92,-3489.28759765625
93,-3583.51123046875
94,-3679.47021484375
95,-3777.185546875
96,-3876.67529296875
97,-3977.95751953125
98,-4081.05029296875
99,-4185.97216796875
